"","NTDID","Agency","SSW","Mode","TOS","Operating.Expense.Category","Operators.salaries.and.wages","Other.salaries.and.wages","Fringe.Benefits","Services","Fuel.and.lubricants","Tires.and.tubes","Other.materials.and.supplies","Utilities","Casualty.and.Liability.Costs","Taxes","Purchased.Transportation.In.Report","Purchased.Transportation.Filing.Separate.Report","Miscellaneous.Expenses","Small.Systems.Waiver.Expenses","Total.Modal.Expenses","ADA.Related.Expenses"
"183","4180","University of Georgia Transit System","N","DR","DO","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330384,NA
"184","4180","University of Georgia Transit System","N","DR","DO","Vehicle Maintenance",NA,35335,12157,9213,378,141,585,NA,NA,NA,NA,NA,19,NA,NA,NA
"185","4180","University of Georgia Transit System","N","DR","DO","Vehicle Operations",136213,35369,21827,623,21081,2225,2156,NA,NA,NA,NA,NA,388,NA,NA,NA
"186","4180","University of Georgia Transit System","N","MB","DO","General Administration",NA,117586,100176,27660,NA,NA,20861,80255,12257,1036,NA,NA,99257,NA,NA,NA
"187","4180","University of Georgia Transit System","N","MB","DO","Non-Vehicle Maintenance",NA,NA,NA,46681,NA,NA,5988,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","4180","University of Georgia Transit System","N","MB","DO","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5355484,NA
"189","4180","University of Georgia Transit System","N","MB","DO","Vehicle Maintenance",NA,340573,117175,73710,3642,1362,254161,NA,NA,NA,NA,NA,709,NA,NA,NA
"190","4180","University of Georgia Transit System","N","MB","DO","Vehicle Operations",2133775,340897,415265,11691,1047772,66449,32808,NA,NA,3,NA,NA,3735,NA,NA,NA
"191","4181","Henry County Transit","Y","DR","DO","General Administration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","4181","Henry County Transit","Y","DR","DO","Non-Vehicle Maintenance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","4181","Henry County Transit","Y","DR","DO","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1646501,1646501,NA
"194","4181","Henry County Transit","Y","DR","DO","Vehicle Maintenance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","4181","Henry County Transit","Y","DR","DO","Vehicle Operations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","4193","Liberty Transit","Y","MB","PT","General Administration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","4193","Liberty Transit","Y","MB","PT","Non-Vehicle Maintenance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","4193","Liberty Transit","Y","MB","PT","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,699932,699932,NA
"199","4193","Liberty Transit","Y","MB","PT","Vehicle Maintenance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","4193","Liberty Transit","Y","MB","PT","Vehicle Operations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","4203","Enterprise Rideshare","N","VP","DO","General Administration",NA,111814,20559,6570,NA,NA,NA,480,195760,2994,NA,NA,251035,NA,NA,NA
"202","4203","Enterprise Rideshare","N","VP","DO","Non-Vehicle Maintenance",NA,NA,NA,997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","4203","Enterprise Rideshare","N","VP","DO","Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1179770,NA
"204","4203","Enterprise Rideshare","N","VP","DO","Vehicle Maintenance",NA,NA,NA,19398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","4203","Enterprise Rideshare","N","VP","DO","Vehicle Operations",NA,NA,NA,NA,460003,NA,NA,NA,NA,44059,NA,NA,66101,NA,NA,NA
